"Date","C4Super","C4Medium","Bulog"
"2021-01-04","11750","10667","9083"
"2021-01-05","11750","10667","9083"
"2021-01-06","11750","10667","9083"
"2021-01-07","11750","10667","9083"
"2021-01-08","11750","10667","9083"
"2021-01-09","","",""
"2021-01-10","","",""
"2021-01-11","11750","10667","9083"
"2021-01-12","11750","10667","9083"
"2021-01-13","11750","10667","9083"
"2021-01-14","11750","10667","9083"
"2021-01-15","11750","10667","9083"
"2021-01-16","","",""
"2021-01-17","","",""
"2021-01-18","11750","10667","9083"
"2021-01-19","11750","10667","9083"
"2021-01-20","11750","10667","9083"
"2021-01-21","11750","10667","9083"
"2021-01-22","11750","10667","9083"
"2021-01-23","","",""
"2021-01-24","","",""
"2021-01-25","11750","10667","9083"
"2021-01-26","11750","10667","9083"
"2021-01-27","11750","10667","9083"
"2021-01-28","11750","10667","9083"
"2021-01-29","11750","10667","9083"
"2021-01-30","","",""
"2021-01-31","","",""
"2021-02-01","11750","10667","9083"
"2021-02-02","11750","10667","9083"
"2021-02-03","11750","10667","9083"
"2021-02-04","11750","10667","9083"
"2021-02-05","11750","10667","9083"
"2021-02-06","","",""
"2021-02-07","","",""
"2021-02-08","11750","10500","9083"
"2021-02-09","11750","10500","9083"
"2021-02-10","11750","10500","9083"
"2021-02-11","11750","10500","9083"
"2021-02-12","11750","10500","9083"
"2021-02-13","","",""
"2021-02-14","","",""
"2021-02-15","11750","10500","9083"
"2021-02-16","11750","10500","9083"
"2021-02-17","11750","10500","9083"
"2021-02-18","11750","10500","9083"
"2021-02-19","11750","10500","9083"
"2021-02-20","","",""
"2021-02-21","","",""
"2021-02-22","11750","10500","9083"
"2021-02-23","11750","10500","9083"
"2021-02-24","11750","10500","9083"
"2021-02-25","11750","10500","9083"
"2021-02-26","11750","10500","9083"
"2021-02-27","","",""
"2021-02-28","","",""
"2021-03-01","11750","10500","9083"
"2021-03-02","11750","10667","9083"
"2021-03-03","11583","10583","9083"
"2021-03-04","11583","10583","9083"
"2021-03-05","11583","10583","9083"
"2021-03-06","","",""
"2021-03-07","","",""
"2021-03-08","11750","10333","9083"
"2021-03-09","11750","10500","9083"
"2021-03-10","11750","10500","9083"
"2021-03-11","11750","10500","9083"
"2021-03-12","11750","10500","9083"
"2021-03-13","","",""
"2021-03-14","","",""
"2021-03-15","11750","10333","9083"
"2021-03-16","11750","10333","9083"
"2021-03-17","11750","10333","9083"
"2021-03-18","11750","10333","9083"
"2021-03-19","11750","10333","9083"
"2021-03-20","","",""
"2021-03-21","","",""
"2021-03-22","11750","10333","9083"
"2021-03-23","11750","10417","9083"
"2021-03-24","11750","10417","9083"
"2021-03-25","11750","10417","9083"
"2021-03-26","11750","10417","9083"
"2021-03-27","","",""
"2021-03-28","","",""
"2021-03-29","11750","10417","9167"
"2021-03-30","11500","10250","9167"
"2021-03-31","11500","10250","9167"
"2021-04-01","11667","10417","9167"
"2021-04-02","11667","10417","9167"
